Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	20cells_960buffer_20imaz_lsz_1.UDT
Run Date:	12:30:43, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.02072	-0.02072	0.9991	0.9982

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	82.0	124.0	0.563	124.0	-0.793
2	124.0	126.0	250.0	10.000	250.0	0.252

Data Points
s	Abs
0.0	0.547
2.0	0.546
4.0	0.545
6.0	0.544
8.0	0.544
10.0	0.543
12.0	0.542
14.0	0.542
16.0	0.541
18.0	0.541
20.0	0.539
22.0	0.538
24.0	0.538
26.0	0.538
28.0	0.536
30.0	0.536
32.0	0.535
34.0	0.534
36.0	0.534
38.0	0.533
40.0	0.532
42.0	0.532
44.0	0.531
46.0	0.531
48.0	0.530
50.0	0.529
52.0	0.528
54.0	0.528
56.0	0.528
58.0	0.527
60.0	0.526
62.0	0.525
64.0	0.525
66.0	0.525
68.0	0.523
70.0	0.523
72.0	0.522
74.0	0.521
76.0	0.521
78.0	0.520
80.0	0.519
82.0	0.563
84.0	0.118
86.0	0.118
88.0	0.118
90.0	0.118
92.0	0.118
94.0	0.118
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	0.118
120.0	0.118
122.0	0.118
124.0	-0.793
126.0	10.000
128.0	0.390
130.0	0.383
132.0	0.376
134.0	0.370
136.0	0.364
138.0	0.359
140.0	0.353
142.0	0.348
144.0	0.343
146.0	0.338
148.0	0.334
150.0	0.330
152.0	0.326
154.0	0.322
156.0	0.318
158.0	0.314
160.0	0.311
162.0	0.308
164.0	0.305
166.0	0.302
168.0	0.300
170.0	0.297
172.0	0.295
174.0	0.293
176.0	0.291
178.0	0.289
180.0	0.287
182.0	0.285
184.0	0.283
186.0	0.282
188.0	0.280
190.0	0.279
192.0	0.277
194.0	0.276
196.0	0.274
198.0	0.273
200.0	0.272
202.0	0.271
204.0	0.270
206.0	0.268
208.0	0.268
210.0	0.266
212.0	0.266
214.0	0.265
216.0	0.264
218.0	0.263
220.0	0.262
222.0	0.261
224.0	0.260
226.0	0.260
228.0	0.259
230.0	0.258
232.0	0.258
234.0	0.257
236.0	0.256
238.0	0.255
240.0	0.255
242.0	0.255
244.0	0.254
246.0	0.253
248.0	0.253
250.0	0.252

